source_csv,Config ID,Heads,Sampling,Freeze Backbone,Triplet Loss,Similarity Loss,Batch Size,Loss,Label Smoothing,Data Augmentation,Test-Time Augmentation,Metric Weight,Ensemble Test F1 (game5)
running_results_exp_114.csv,H2_S-50_50_T-new_B-64_L-focal_SM-True_F-False_DA-True_TA-True_MW-0.5,2,50_50,FALSE,FALSE,TRUE,64,focal,TRUE,TRUE,TRUE,0.5,91.90
running_results_exp_114.csv,H2_S-50_50_T-new_B-64_L-focal_SM-True_F-False_DA-True_TA-False_MW-0.5,2,50_50,FALSE,FALSE,TRUE,64,focal,TRUE,TRUE,FALSE,0.5,89.57
running_results_exp_114.csv,H2_S-50_50_T-new_B-64_L-focal_SM-True_F-False_DA-False_TA-True_MW-0.5,2,50_50,FALSE,FALSE,TRUE,64,focal,TRUE,FALSE,TRUE,0.5,88.91
running_results_exp_114.csv,H2_S-50_50_T-new_B-64_L-focal_SM-True_F-False_DA-False_TA-False_MW-0.5,2,50_50,FALSE,FALSE,TRUE,64,focal,TRUE,FALSE,FALSE,0.5,88.78
FINAL_RESULTS (1).csv,H3_S-50_50_T-old_F-False_B-32,3,50_50,FALSE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,88.37
running_results_exp (1).csv,H3_S-50_50_T-old_F-False_B-32,3,50_50,FALSE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,88.37
FINAL_RESULTS_114.csv,H2_S-50_50_T-old_B-32,2,50_50,FALSE,TRUE,FALSE,32,cross-entropy,FALSE,FALSE,FALSE,1,87.46
FINAL_RESULTS_114.csv,H2_S-50_50_T-new_B-32,2,50_50,FALSE,FALSE,TRUE,32,cross-entropy,FALSE,FALSE,FALSE,1,86.38
results_task_4.csv,H2_S-50_50_T-new_F-False_B-32,2,50_50,FALSE,FALSE,TRUE,32,cross-entropy,FALSE,FALSE,FALSE,1,86.23
results_task_3.csv,H2_S-50_50_T-new_F-False_B-16,2,50_50,FALSE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,85.31
running_results_exp_114.csv,H2_S-50_50_T-new_B-64_L-focal_SM-False_F-True_DA-True_TA-True_MW-0.5,2,50_50,TRUE,FALSE,TRUE,64,focal,FALSE,TRUE,TRUE,0.5,84.33
running_results.csv,H1_S-50_50_T-new_F-True_B-16,1,50_50,TRUE,FALSE,TRUE,16,cross-entropy,FALSE,FALSE,FALSE,1,84.02
running_results.csv,H1_S-50_50_T-new_F-False_B-32,1,50_50,FALSE,FALSE,TRUE,32,cross-entropy,FALSE,FALSE,FALSE,1,83.81
running_results_exp_114.csv,H2_S-50_50_T-new_B-64_L-focal_SM-False_F-True_DA-True_TA-False_MW-0.5,2,50_50,TRUE,FALSE,TRUE,64,focal,FALSE,TRUE,FALSE,0.5,83.70
running_results.csv,H1_S-50_50_T-new_F-True_B-32,1,50_50,TRUE,FALSE,TRUE,32,cross-entropy,FALSE,FALSE,FALSE,1,83.47
