Heads,Sampling,Freeze Backbone,Metric Loss,Batch Size,Loss,Label Smoothing,Data Augmentation,Test-Time Augmentation,Metric Weight,Ensemble Test F1 (game5)
2,50 50,FALSE,Similarity,64,focal,TRUE,TRUE,TRUE,0.5,91.9
2,50 50,FALSE,Similarity,64,focal,TRUE,TRUE,FALSE,0.5,89.57
2,50 50,FALSE,Similarity,64,focal,TRUE,FALSE,TRUE,0.5,88.91
2,50 50,FALSE,Similarity,64,focal,TRUE,FALSE,FALSE,0.5,88.78
3,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,88.37
3,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,88.37
2,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,87.46
2,50 50,FALSE,Similarity,32,cross entropy,FALSE,FALSE,FALSE,1,86.38
2,50 50,FALSE,Similarity,32,cross entropy,FALSE,FALSE,FALSE,1,86.23
2,50 50,FALSE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,85.31
2,50 50,TRUE,Similarity,64,focal,FALSE,TRUE,TRUE,0.5,84.33
1,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,84.02
1,50 50,FALSE,Similarity,32,cross entropy,FALSE,FALSE,FALSE,1,83.81
2,50 50,TRUE,Similarity,64,focal,FALSE,TRUE,FALSE,0.5,83.7
1,50 50,TRUE,Similarity,32,cross entropy,FALSE,FALSE,FALSE,1,83.47
1,50 50,FALSE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,83.12
1,none,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,83.02
1,none,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,83.02
2,50 50,TRUE,Similarity,64,focal,TRUE,TRUE,TRUE,0.5,82.95
1,50 50,TRUE,Similarity,64,cross entropy,FALSE,FALSE,FALSE,1,82.91
3,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,82.76
2,50 50,TRUE,Similarity,64,focal,TRUE,TRUE,FALSE,0.5,82.59
1,50 50,FALSE,Similarity,64,cross entropy,FALSE,FALSE,FALSE,1,80.74
2,50 50,TRUE,Similarity,64,focal,TRUE,FALSE,FALSE,0.5,80.27
2,50 50,TRUE,Similarity,64,focal,FALSE,FALSE,TRUE,0.5,79.89
2,50 50,TRUE,Similarity,64,focal,FALSE,FALSE,FALSE,0.5,78.46
2,50 50,TRUE,Similarity,64,focal,TRUE,FALSE,TRUE,0.5,77.09
1,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,75.88
1,50 50,TRUE,Triplet,64,cross entropy,FALSE,FALSE,FALSE,1,75.44
1,50 50,FALSE,Triplet,16,cross entropy,FALSE,FALSE,FALSE,1,75.27
1,50 50,TRUE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,74.52
3,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,73.24
3,50 50,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,73.24
1,50 50,TRUE,Triplet,16,cross entropy,FALSE,FALSE,FALSE,1,72.95
1,50 50,FALSE,Triplet,64,cross entropy,FALSE,FALSE,FALSE,1,72.02
3,50 50,FALSE,Similarity,32,cross entropy,FALSE,FALSE,FALSE,1,69.98
1,none,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,68.25
1,none,FALSE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,68.25
3,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,58.39
1,50 50,TRUE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,57.6
1,50 50,TRUE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,57.6
3,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,57.49
3,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,57.49
2,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,56.64
2,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,56.64
1,50 50,TRUE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,56.36
1,50 50,TRUE,Triplet,32,cross entropy,FALSE,FALSE,FALSE,1,56.36
3,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,56.05
3,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,56.05
2,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.97
2,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.97
2,50 50,TRUE,Similarity,32,cross entropy,FALSE,FALSE,FALSE,1,55.89
2,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.48
1,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.36
1,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.36
1,50 50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.33
1,50_50,TRUE,Similarity,16,cross entropy,FALSE,FALSE,FALSE,1,55.33
